up	dw	total	type	dist	pvalue_up	pvalue_dw
69	5	470	covered_genes	-10kb to -5kb	2.968747008058292e-14	0.9992521594586997
76	3	312	covered_genes	-5kb to -2kb	1.3391017504606792e-29	0.9956666420994394
29	2	122	covered_genes	-2kb to -1kb	2.8212939991367456e-12	0.8068127869401194
14	1	48	covered_genes	-1kb to -0.5kb	2.434616164847358e-08	0.5064830759960719
9	1	52	covered_genes	-0.5kb to -0.1kb	0.0004828152269080384	0.5496648946502911
1	0	9	covered_genes	-0.1kb to 0kb	0.08484570374359744	0.27521557585700523
2	0	7	covered_genes	0kb to 0.1kb	0.0049815199413575815	0.22146328282258954
14	1	46	covered_genes	0.1kb to 0.5kb	1.2649881389720664e-08	0.4839033995341656
7	1	65	covered_genes	0.5kb to 1kb	0.026261794073092138	0.6710587344341005
29	0	116	covered_genes	1kb to 2kb	6.857805899002776e-13	0.9843933312071039
72	3	316	covered_genes	2kb to 5kb	3.4680067743966193e-26	0.9961179727072661
72	10	450	covered_genes	5kb to 10kb	7.927634998556576e-17	0.9218784936588731
