ENSEMBL	SYMBOL	type	dist
ENSG00000163395	IGFN1	up	-10kb
ENSG00000198075	SULT1C4	up	-10kb
ENSG00000128710	HOXD10	up	-10kb
ENSG00000114948	ADAM23	up	-10kb
ENSG00000124882	EREG	up	-10kb
ENSG00000153404	PLEKHG4B	up	-10kb
ENSG00000130449	ZSWIM6	up	-10kb
ENSG00000130449	ZSWIM6	up	-10kb
ENSG00000145708	CRHBP	up	-10kb
ENSG00000135549	PKIB	up	-10kb
ENSG00000126010	GRPR	up	-10kb
ENSG00000102172	SMS	up	-10kb
ENSG00000147202	DIAPH2	up	-10kb
ENSG00000164749	HNF4G	up	-10kb
ENSG00000164749	HNF4G	up	-10kb
ENSG00000050438	SLC4A8	up	-10kb
ENSG00000180318	ALX1	up	-10kb
ENSG00000020426	MNAT1	up	-10kb
ENSG00000139973	SYT16	up	-10kb
ENSG00000136383	ALPK3	up	-10kb
ENSG00000185551	NR2F2	up	-10kb
ENSG00000185551	NR2F2	up	-10kb
ENSG00000159217	IGF2BP1	up	-10kb
ENSG00000108798	ABI3	up	-10kb
ENSG00000187323	DCC	up	-10kb
ENSG00000060718	COL11A1	up	-10kb
ENSG00000060718	COL11A1	up	-10kb
ENSG00000060718	COL11A1	up	-10kb
ENSG00000060718	COL11A1	up	-10kb
ENSG00000143067	ZNF697	up	-10kb
ENSG00000162836	ACP6	up	-10kb
ENSG00000116852	KIF21B	up	-10kb
ENSG00000119866	BCL11A	up	-10kb
ENSG00000144057	ST6GAL2	up	-10kb
ENSG00000163053	SLC16A14	up	-10kb
ENSG00000085276	MECOM	up	-10kb
ENSG00000180801	ARSJ	up	-10kb
ENSG00000109452	INPP4B	up	-10kb
ENSG00000082074	FYB1	up	-10kb
ENSG00000145632	PLK2	up	-10kb
ENSG00000113448	PDE4D	up	-10kb
ENSG00000113448	PDE4D	up	-10kb
ENSG00000204681	GABBR1	up	-10kb
ENSG00000204681	GABBR1	up	-10kb
ENSG00000136231	IGF2BP3	up	-10kb
ENSG00000128512	DOCK4	up	-10kb
ENSG00000182287	AP1S2	up	-10kb
ENSG00000174010	KLHL15	up	-10kb
ENSG00000147255	IGSF1	up	-10kb
ENSG00000120875	DUSP4	up	-10kb
ENSG00000156103	MMP16	up	-10kb
ENSG00000204882	GPR20	up	-10kb
ENSG00000164970	FAM219A	up	-10kb
ENSG00000148948	LRRC4C	up	-10kb
ENSG00000149256	TENM4	up	-10kb
ENSG00000149256	TENM4	up	-10kb
ENSG00000086991	NOX4	up	-10kb
ENSG00000087494	PTHLH	up	-10kb
ENSG00000139174	PRICKLE1	up	-10kb
ENSG00000139629	GALNT6	up	-10kb
ENSG00000165795	NDRG2	up	-10kb
ENSG00000181619	GPR135	up	-10kb
ENSG00000205683	DPF3	up	-10kb
ENSG00000174498	IGDCC3	up	-10kb
ENSG00000103742	IGDCC4	up	-10kb
ENSG00000103742	IGDCC4	up	-10kb
ENSG00000140379	BCL2A1	up	-10kb
ENSG00000103449	SALL1	up	-10kb
ENSG00000167083	GNGT2	up	-10kb
ENSG00000143355	LHX9	up	-5kb
ENSG00000008118	CAMK1G	up	-5kb
ENSG00000176887	SOX11	up	-5kb
ENSG00000163032	VSNL1	up	-5kb
ENSG00000136002	ARHGEF4	up	-5kb
ENSG00000178662	CSRNP3	up	-5kb
ENSG00000138434	ITPRID2	up	-5kb
ENSG00000113946	CLDN16	up	-5kb
ENSG00000113946	CLDN16	up	-5kb
ENSG00000124882	EREG	up	-5kb
ENSG00000170791	CHCHD7	up	-5kb
ENSG00000164749	HNF4G	up	-5kb
ENSG00000213694	S1PR3	up	-5kb
ENSG00000138316	ADAMTS14	up	-5kb
ENSG00000122367	LDB3	up	-5kb
ENSG00000161835	GRASP	up	-5kb
ENSG00000139364	TMEM132B	up	-5kb
ENSG00000165300	SLITRK5	up	-5kb
ENSG00000159217	IGF2BP1	up	-5kb
ENSG00000187323	DCC	up	-5kb
ENSG00000197632	SERPINB2	up	-5kb
ENSG00000100985	MMP9	up	-5kb
ENSG00000134686	PHC2	up	-5kb
ENSG00000117461	PIK3R3	up	-5kb
ENSG00000254726	MEX3A	up	-5kb
ENSG00000144057	ST6GAL2	up	-5kb
ENSG00000144057	ST6GAL2	up	-5kb
ENSG00000168702	LRP1B	up	-5kb
ENSG00000163618	CADPS	up	-5kb
ENSG00000163618	CADPS	up	-5kb
ENSG00000163347	CLDN1	up	-5kb
ENSG00000163347	CLDN1	up	-5kb
ENSG00000145247	OCIAD2	up	-5kb
ENSG00000145247	OCIAD2	up	-5kb
ENSG00000145247	OCIAD2	up	-5kb
ENSG00000109452	INPP4B	up	-5kb
ENSG00000145632	PLK2	up	-5kb
ENSG00000175471	MCTP1	up	-5kb
ENSG00000146021	KLHL3	up	-5kb
ENSG00000146021	KLHL3	up	-5kb
ENSG00000146072	TNFRSF21	up	-5kb
ENSG00000146072	TNFRSF21	up	-5kb
ENSG00000118420	UBE3D	up	-5kb
ENSG00000118420	UBE3D	up	-5kb
ENSG00000029639	TFB1M	up	-5kb
ENSG00000130021	PUDP	up	-5kb
ENSG00000011201	ANOS1	up	-5kb
ENSG00000182287	AP1S2	up	-5kb
ENSG00000174010	KLHL15	up	-5kb
ENSG00000102057	KCND1	up	-5kb
ENSG00000188419	CHM	up	-5kb
ENSG00000068366	ACSL4	up	-5kb
ENSG00000130224	LRCH2	up	-5kb
ENSG00000130224	LRCH2	up	-5kb
ENSG00000056277	ZNF280C	up	-5kb
ENSG00000173530	TNFRSF10D	up	-5kb
ENSG00000120875	DUSP4	up	-5kb
ENSG00000120875	DUSP4	up	-5kb
ENSG00000181690	PLAG1	up	-5kb
ENSG00000164796	CSMD3	up	-5kb
ENSG00000127080	IPPK	up	-5kb
ENSG00000095397	WHRN	up	-5kb
ENSG00000134569	LRP4	up	-5kb
ENSG00000149256	TENM4	up	-5kb
ENSG00000169126	ARMC4	up	-5kb
ENSG00000095587	TLL2	up	-5kb
ENSG00000251655	PRB1	up	-5kb
ENSG00000177990	DPY19L2	up	-5kb
ENSG00000205683	DPF3	up	-5kb
ENSG00000174498	IGDCC3	up	-5kb
ENSG00000140379	BCL2A1	up	-5kb
ENSG00000103449	SALL1	up	-5kb
ENSG00000161682	FAM171A2	up	-5kb
ENSG00000171451	DSEL	up	-5kb
ENSG00000171451	DSEL	up	-5kb
ENSG00000160207	HSF2BP	up	-5kb
ENSG00000172554	SNTG2	up	-2kb
ENSG00000163032	VSNL1	up	-2kb
ENSG00000113946	CLDN16	up	-2kb
ENSG00000016082	ISL1	up	-2kb
ENSG00000082293	COL19A1	up	-2kb
ENSG00000130066	SAT1	up	-2kb
ENSG00000102271	KLHL4	up	-2kb
ENSG00000101844	ATG4A	up	-2kb
ENSG00000278570	NR2E3	up	-2kb
ENSG00000180340	FZD2	up	-2kb
ENSG00000162670	BRINP3	up	-2kb
ENSG00000121570	DPPA4	up	-2kb
ENSG00000163347	CLDN1	up	-2kb
ENSG00000170891	CYTL1	up	-2kb
ENSG00000168772	CXXC4	up	-2kb
ENSG00000146072	TNFRSF21	up	-2kb
ENSG00000183807	FAM162B	up	-2kb
ENSG00000255330	AL096711.2	up	-2kb
ENSG00000183943	PRKX	up	-2kb
ENSG00000047230	CTPS2	up	-2kb
ENSG00000188419	CHM	up	-2kb
ENSG00000130224	LRCH2	up	-2kb
ENSG00000145002	FAM86B2	up	-2kb
ENSG00000164683	HEY1	up	-2kb
ENSG00000164796	CSMD3	up	-2kb
ENSG00000118096	IFT46	up	-2kb
ENSG00000152779	SLC16A12	up	-2kb
ENSG00000178184	PARD6G	up	-2kb
ENSG00000026559	KCNG1	up	-2kb
ENSG00000186973	FAM183A	up	-1kb
ENSG00000178662	CSRNP3	up	-1kb
ENSG00000128713	HOXD11	up	-1kb
ENSG00000113946	CLDN16	up	-1kb
ENSG00000124882	EREG	up	-1kb
ENSG00000101849	TBL1X	up	-1kb
ENSG00000188153	COL4A5	up	-1kb
ENSG00000278570	NR2E3	up	-1kb
ENSG00000100985	MMP9	up	-1kb
ENSG00000040731	CDH10	up	-1kb
ENSG00000170571	EMB	up	-1kb
ENSG00000102057	KCND1	up	-1kb
ENSG00000165078	CPA6	up	-1kb
ENSG00000166265	CYYR1	up	-1kb
ENSG00000169249	ZRSR2	up	-0.5kb
ENSG00000126010	GRPR	up	-0.5kb
ENSG00000169855	ROBO1	up	-0.5kb
ENSG00000163347	CLDN1	up	-0.5kb
ENSG00000161217	PCYT1A	up	-0.5kb
ENSG00000197565	COL4A6	up	-0.5kb
ENSG00000185053	SGCZ	up	-0.5kb
ENSG00000072041	SLC6A15	up	-0.5kb
ENSG00000183484	GPR132	up	-0.5kb
ENSG00000182508	LHFPL1	up	-0.1kb
ENSG00000119888	EPCAM	up	0kb
ENSG00000102271	KLHL4	up	0kb
ENSG00000162981	LRATD1	up	0.1kb
ENSG00000198203	SULT1C2	up	0.1kb
ENSG00000198075	SULT1C4	up	0.1kb
ENSG00000188153	COL4A5	up	0.1kb
ENSG00000104723	TUSC3	up	0.1kb
ENSG00000122367	LDB3	up	0.1kb
ENSG00000269713	NBPF9	up	0.1kb
ENSG00000152092	ASTN1	up	0.1kb
ENSG00000225526	MKRN2OS	up	0.1kb
ENSG00000113448	PDE4D	up	0.1kb
ENSG00000128512	DOCK4	up	0.1kb
ENSG00000130224	LRCH2	up	0.1kb
ENSG00000130413	STK33	up	0.1kb
ENSG00000137745	MMP13	up	0.1kb
ENSG00000008118	CAMK1G	up	0.5kb
ENSG00000007001	UPP2	up	0.5kb
ENSG00000101844	ATG4A	up	0.5kb
ENSG00000077616	NAALAD2	up	0.5kb
ENSG00000109705	NKX3-2	up	0.5kb
ENSG00000197565	COL4A6	up	0.5kb
ENSG00000283663	AC008687.8	up	0.5kb
ENSG00000058085	LAMC2	up	1kb
ENSG00000163362	INAVA	up	1kb
ENSG00000178662	CSRNP3	up	1kb
ENSG00000128710	HOXD10	up	1kb
ENSG00000204186	ZDBF2	up	1kb
ENSG00000109265	KIAA1211	up	1kb
ENSG00000138798	EGF	up	1kb
ENSG00000146555	SDK1	up	1kb
ENSG00000134602	STK26	up	1kb
ENSG00000003989	SLC7A2	up	1kb
ENSG00000165392	WRN	up	1kb
ENSG00000148019	CEP78	up	1kb
ENSG00000166349	RAG1	up	1kb
ENSG00000134955	SLC37A2	up	1kb
ENSG00000148459	PDSS1	up	1kb
ENSG00000139364	TMEM132B	up	1kb
ENSG00000278535	DHRS11	up	1kb
ENSG00000108352	RAPGEFL1	up	1kb
ENSG00000183691	NOG	up	1kb
ENSG00000141431	ASXL3	up	1kb
ENSG00000100321	SYNGR1	up	1kb
ENSG00000105810	CDK6	up	1kb
ENSG00000128564	VGF	up	1kb
ENSG00000145002	FAM86B2	up	1kb
ENSG00000172733	PURG	up	1kb
ENSG00000164970	FAM219A	up	1kb
ENSG00000135111	TBX3	up	1kb
ENSG00000197119	SLC25A29	up	1kb
ENSG00000188626	GOLGA8M	up	1kb
ENSG00000158008	EXTL1	up	2kb
ENSG00000184588	PDE4B	up	2kb
ENSG00000118473	SGIP1	up	2kb
ENSG00000118473	SGIP1	up	2kb
ENSG00000033122	LRRC7	up	2kb
ENSG00000170989	S1PR1	up	2kb
ENSG00000118298	CA14	up	2kb
ENSG00000118298	CA14	up	2kb
ENSG00000143375	CGN	up	2kb
ENSG00000008118	CAMK1G	up	2kb
ENSG00000183780	SLC35F3	up	2kb
ENSG00000176887	SOX11	up	2kb
ENSG00000162981	LRATD1	up	2kb
ENSG00000163032	VSNL1	up	2kb
ENSG00000163032	VSNL1	up	2kb
ENSG00000135636	DYSF	up	2kb
ENSG00000135636	DYSF	up	2kb
ENSG00000115919	KYNU	up	2kb
ENSG00000128710	HOXD10	up	2kb
ENSG00000128710	HOXD10	up	2kb
ENSG00000114948	ADAM23	up	2kb
ENSG00000124882	EREG	up	2kb
ENSG00000124882	EREG	up	2kb
ENSG00000124882	EREG	up	2kb
ENSG00000164136	IL15	up	2kb
ENSG00000038295	TLL1	up	2kb
ENSG00000155846	PPARGC1B	up	2kb
ENSG00000276966	HIST1H4E	up	2kb
ENSG00000082293	COL19A1	up	2kb
ENSG00000198478	SH3BGRL2	up	2kb
ENSG00000197594	ENPP1	up	2kb
ENSG00000101849	TBL1X	up	2kb
ENSG00000169306	IL1RAPL1	up	2kb
ENSG00000250349	AF241726.2	up	2kb
ENSG00000102271	KLHL4	up	2kb
ENSG00000102271	KLHL4	up	2kb
ENSG00000102271	KLHL4	up	2kb
ENSG00000147202	DIAPH2	up	2kb
ENSG00000134602	STK26	up	2kb
ENSG00000003989	SLC7A2	up	2kb
ENSG00000176399	DMRTA1	up	2kb
ENSG00000176399	DMRTA1	up	2kb
ENSG00000154127	UBASH3B	up	2kb
ENSG00000169062	UPF3A	up	2kb
ENSG00000165379	LRFN5	up	2kb
ENSG00000166145	SPINT1	up	2kb
ENSG00000180340	FZD2	up	2kb
ENSG00000183691	NOG	up	2kb
ENSG00000152217	SETBP1	up	2kb
ENSG00000101670	LIPG	up	2kb
ENSG00000187323	DCC	up	2kb
ENSG00000124440	HIF3A	up	2kb
ENSG00000133477	FAM83F	up	2kb
ENSG00000248405	PRR5-ARHGAP8	up	2kb
ENSG00000183570	PCBP3	up	2kb
ENSG00000254726	MEX3A	up	2kb
ENSG00000116852	KIF21B	up	2kb
ENSG00000205111	CDKL4	up	2kb
ENSG00000144057	ST6GAL2	up	2kb
ENSG00000196604	POTEF	up	2kb
ENSG00000144339	TMEFF2	up	2kb
ENSG00000054356	PTPRN	up	2kb
ENSG00000057019	DCBLD2	up	2kb
ENSG00000163453	IGFBP7	up	2kb
ENSG00000145428	RNF175	up	2kb
ENSG00000013375	PGM3	up	2kb
ENSG00000249141	AL159163.1	up	2kb
ENSG00000136231	IGF2BP3	up	2kb
ENSG00000106031	HOXA13	up	2kb
ENSG00000145002	FAM86B2	up	2kb
ENSG00000107105	ELAVL2	up	2kb
ENSG00000135111	TBX3	up	2kb
ENSG00000116675	DNAJC6	up	5kb
ENSG00000184588	PDE4B	up	5kb
ENSG00000163362	INAVA	up	5kb
ENSG00000171303	KCNK3	up	5kb
ENSG00000136002	ARHGEF4	up	5kb
ENSG00000128713	HOXD11	up	5kb
ENSG00000128713	HOXD11	up	5kb
ENSG00000128713	HOXD11	up	5kb
ENSG00000115232	ITGA4	up	5kb
ENSG00000138434	ITPRID2	up	5kb
ENSG00000109265	KIAA1211	up	5kb
ENSG00000109265	KIAA1211	up	5kb
ENSG00000124882	EREG	up	5kb
ENSG00000124882	EREG	up	5kb
ENSG00000124882	EREG	up	5kb
ENSG00000170390	DCLK2	up	5kb
ENSG00000153404	PLEKHG4B	up	5kb
ENSG00000153404	PLEKHG4B	up	5kb
ENSG00000130449	ZSWIM6	up	5kb
ENSG00000130449	ZSWIM6	up	5kb
ENSG00000145708	CRHBP	up	5kb
ENSG00000112559	MDFI	up	5kb
ENSG00000135298	ADGRB3	up	5kb
ENSG00000135549	PKIB	up	5kb
ENSG00000198945	L3MBTL3	up	5kb
ENSG00000130396	AFDN	up	5kb
ENSG00000146555	SDK1	up	5kb
ENSG00000136261	BZW2	up	5kb
ENSG00000002745	WNT16	up	5kb
ENSG00000101849	TBL1X	up	5kb
ENSG00000067992	PDK3	up	5kb
ENSG00000204131	NHSL2	up	5kb
ENSG00000204131	NHSL2	up	5kb
ENSG00000102271	KLHL4	up	5kb
ENSG00000123572	NRK	up	5kb
ENSG00000101844	ATG4A	up	5kb
ENSG00000176399	DMRTA1	up	5kb
ENSG00000135362	PRR5L	up	5kb
ENSG00000123407	HOXC12	up	5kb
ENSG00000034053	APBA2	up	5kb
ENSG00000159433	STARD9	up	5kb
ENSG00000159217	IGF2BP1	up	5kb
ENSG00000078142	PIK3C3	up	5kb
ENSG00000078142	PIK3C3	up	5kb
ENSG00000187323	DCC	up	5kb
ENSG00000126001	CEP250	up	5kb
ENSG00000273590	SMIM11B	up	5kb
ENSG00000179862	CITED4	up	5kb
ENSG00000162836	ACP6	up	5kb
ENSG00000257207	AC112229.3	up	5kb
ENSG00000168702	LRP1B	up	5kb
ENSG00000082126	MPP4	up	5kb
ENSG00000047662	FAM184B	up	5kb
ENSG00000145247	OCIAD2	up	5kb
ENSG00000138769	CDKL2	up	5kb
ENSG00000185477	GPRIN3	up	5kb
ENSG00000146094	DOK3	up	5kb
ENSG00000136231	IGF2BP3	up	5kb
ENSG00000136231	IGF2BP3	up	5kb
